"'63","'000","'01","'000","'0000","1","陳汝斌","'210","'1","'0260902","77","台中市","高中","N"," "," "
"'63","'000","'01","'000","'0000","2","趙衍慶","'999","'1","'0251007","78","其他","其他","N"," "," "
"'63","'000","'01","'000","'0000","3","李宏信","'999","'1","'0291119","74","台北市","博士","N"," "," "
"'63","'000","'01","'000","'0000","4","陳永昌","'999","'1","'0410503","62","臺灣省","其他","N"," "," "
"'63","'000","'01","'000","'0000","5","馮光遠","'999","'1","'0420923","61","台北市","碩士","N"," "," "
"'63","'000","'01","'000","'0000","6","連勝文","'1","'1","'0590203","44","台北市","博士","N"," "," "
"'63","'000","'01","'000","'0000","7","柯文哲","'999","'1","'0480806","55","臺灣省","博士","N","*"," "
"'65","'000","'01","'000","'0000","1","游錫堃","'16","'1","'0370425","66","臺灣省","大學","N"," "," "
"'65","'000","'01","'000","'0000","2","李進順","'999","'1","'0490415","54","新北市","專科","N"," "," "
"'65","'000","'01","'000","'0000","3","朱立倫","'1","'1","'0500607","53","臺灣省","博士","Y","*"," "
"'68","'000","'01","'000","'0000","1","鄭文燦","'16","'1","'0560706","47","臺灣省","碩士","N","*"," "
"'68","'000","'01","'000","'0000","2","吳志揚","'1","'1","'0580208","45","臺灣省","碩士","N"," "," "
"'68","'000","'01","'000","'0000","3","許睿智","'999","'1","'0270120","76","臺灣省","高中","N"," "," "
"'66","'000","'01","'000","'0000","1","胡志強","'1","'1","'0370515","66","其他","博士","Y"," "," "
"'66","'000","'01","'000","'0000","2","林佳龍","'16","'1","'0530213","50","台北市","博士","N","*"," "
"'67","'000","'01","'000","'0000","1","賴清德","'16","'1","'0481006","55","新北市","碩士","Y","*"," "
"'67","'000","'01","'000","'0000","2","黃秀霜","'1","'2","'0500220","53","臺灣省","博士","N"," "," "
"'64","'000","'01","'000","'0000","1","周可盛","'999","'1","'0460804","57","高雄市","大學","N"," "," "
"'64","'000","'01","'000","'0000","2","陳菊","'16","'2","'0390610","64","臺灣省","碩士","Y","*"," "
"'64","'000","'01","'000","'0000","3","楊秋興","'1","'1","'0450515","58","高雄市","碩士","N"," "," "
